CustomerID,average_revenue
17420,3.881333333333332
16861,2.3412500000000005
16503,4.198604651162791
15727,3.248145695364241
17389,5.685580357142858
15447,3.1211111111111114
14450,2.7905000000000006
13623,3.8795348837209302
13285,2.134866310160428
16339,5.257500000000001
14570,3.3720689655172427
16386,1.6589772727272725
15100,10.950000000000001
12471,4.269058380414315
16916,2.22041958041958
14514,3.2264383561643846
16500,17.12
12626,2.840390879478825
18161,3.631604938271605
15967,2.8676190476190477
14465,2.8282307692307675
13261,5.48888888888889
18218,1.8320833333333335
14075,1.8132558139534884
14536,4.831578947368421
17809,14.018593750000004
15738,2.118295454545455
17044,3.8419999999999996
12393,2.2796875
16791,2.928975155279503
15296,3.5817999999999985
17708,3.1440000000000006
13875,1.9584615384615385
14289,5.346382978723404
14377,9.15
17754,0.9860215053763441
17775,0.7833333333333333
13060,3.9826666666666672
17783,1.9226865671641795
17223,4.364285714285712
18043,2.9121487603305782
13898,2.6141666666666667
15382,2.4699346405228764
14315,3.664038461538463
16224,2.4532291666666675
13329,2.2005263157894737
17950,2.2945833333333336
15535,4.893589743589742
14713,2.4656304985337236
16565,5.116666666666667
13225,2.5714705882352944
14944,3.017674418604651
16094,3.6358208955223876
14779,6.824390243902438
14770,3.4444230769230777
17346,2.418330019880715
13468,4.139281045751634
15070,2.95
16510,5.346153846153846
15221,12.740909090909092
16985,4.1835537190082634
16549,2.0363812436289512
16027,17.56823529411765
15146,1.5086315789473683
15026,2.1795081967213115
17438,5.065789473684212
15983,2.100884955752212
15827,4.700522388059698
17677,2.779595015576324
17213,4.144207317073169
14030,4.054444444444442
16255,2.831386861313867
13313,2.132307692307692
12530,3.8892647058823533
15781,4.061904761904762
17613,2.6687147335423167
14477,1.8827272727272728
14245,3.115624999999999
17924,3.4473684210526314
16835,4.297
17396,4.416296296296296
16954,3.3449999999999998
15157,1.8597744360902257
17392,3.41790322580645
14532,5.623437499999996
12727,3.308014184397162
12559,3.9672727272727273
14760,2.892857142857143
17462,3.899285714285715
16766,2.8352941176470594
15973,6.601666666666667
14437,18.608333333333334
17969,4.701428571428572
17525,6.005555555555556
15164,2.9453398058252427
12523,5.157818181818181
15270,6.078333333333333
17774,3.38592356687898
12401,9.68
16317,2.979420289855073
15658,6.39375
14085,2.4241241685144113
17430,1.9978571428571428
13494,3.6650000000000014
17639,5.514285714285714
13046,6.142857142857142
15093,2.816607142857141
14589,7.95
15497,3.446875
12943,3.75
16738,1.25
16913,2.07125
